구분,유저,챗봇
원소,수소의 특징이 뭐야?,"원소기호: H
원자번호: 1
화학계열: 비금속
원자량: 1.00794
상태: 기체
밀도: 0.08988g/L(0℃. 101.325kPa)
녹는점: -259.14℃
끓는점: -252.87℃
대기와 지각의 구성물질로 지구상에 풍부함.
연소하기 쉬운 기체로 공기나 산소와 접촉하면 쉽게 불이 붙음.
실온에서는 반응성이 작지만 온도가 높아지면 반응성이 커짐.
많은 금속과 직접 반응하여 수화물을 생성함.
암모니아,메탄,메탄올 등의 합성에 대량으로 사용됨.
산소수소불꽃으로 금속의 절단과 용점에도 사용 됨.
수소 기체는 연소 후 물만 생성되고 오염물질이 만들어지지 않아 무공해연려고 각광을 받고 있음."
원소,헬륨의 특징이 뭐야?,"원소기호: He
원자번호: 2
화학계열: 비활성기체
원자량: 1.002602
상태: 기체
밀도: 0.1786g/L(0℃. 101.325kPa)
녹는점: -272.20℃
끓는점: -268.93℃
"
원소,리튬의 특징이 뭐야?,"원소기호: Li
원자번호: 3
원자량: 6.941
상태: 고체
밀도: 0.53g/cm³
녹는점: 180.54℃
끓는점: 1342℃
은백색 연질금속이지만 나트륨보다 단단함.
홑원소물질 중에서 가장 가벼움.
제어봉, 유기합성의 촉매, 환원제, 리튬전지로 쓰임.
리튬 합금은 경도가 높아 전투기 제조에 사용 됨."
,베릴륨의 특징이 뭐야?,"원소기호: B
원자번호: 4
원자량: 9.01218
상태: 고체
밀도: 1.85g/cm³
녹는점: 1280℃
끓는점: 2970℃
지각에서 존재비가 매우 낮음.
가볍고 단단함.
경금속 중 녹는점이 가장 높음.
독성이 있음."
원소,붕소의 특징이 뭐야?,"원소기호: B
원자번호: 5
원자량: 10.811
상태: 고체
밀도: 2.08g/cm³(녹는점에서 액체의 밀도)
녹는점: 2076℃
끓는점: 3927℃
붕산 또는 붕산염으로 널리 분포함.
전기음성도가 매우 작음."
원소,탄소의 특징이 뭐야?,"원소기호: C
원자번호: 6
화학계열: 비금속
원자량: 12.0107
상태: 고체
승화점: 3642℃
대기 중에서 기체상태인 이산탄소로 존재
암석권에서는 탄산염으로 존재
물 속에서는 탄산이온의 형태로 존재
유기 화합물의 주요 성분
융해가 어렵고 물과 알코올 등 모드 용제에 녹지 않음.
고온에서 기체로 되는 성질이 있음.

"
원소,질소의 특징이 뭐야?,"원소기호: N
원자번호: 7
화학계열: 비금속
원자량: 14.0067
상태: 기체
밀도: 1.251g/L(0℃, 101.325kPa)
녹는점: -210.00℃
끓는점: -195.79℃
부피백분율로 지구 대기의 78.09%, 질량 백분율로 75.54%를 차지함.
우수에서 여섯 번째로 많은 원소
해수나 암석 등에도 광범위하게 존재
질소는 주로 상온에서 이원자 분자(N2)를 이루고, 냄새, 색깔 , 맛이 없는 기체로 존재
연소를 돕지 않고 호흡에 관여하지 않음.
다이너마이트를 비롯한 각종 폭약을 만드는 데 기본적인 원료로 사용
과자봉지의 충전제로 쓰임."
원소,산소의 특징이 뭐야?,"원소기호: O
원자번호: 8
화학계열: 비금속, 칼고겐
원자량: 15.9994
상태: 기체
밀도: 1.429g/L (0℃, 101.325kPa)
녹는점: -218.79℃
끓는점: -182.95℃
산소는 상온에서 두 산소원자가 이중결합하여 이원자 분자(O2)로 존재.
색, 맛, 냄새가 없고 물에 조금 녹는 공기보다 무거운 기체.
지각의 49.2%, 바다의 88.9%를 구성하는 요소.
공기 중 전체 부피의 약 21％를 차지.
산소기체 자체는 타지 않지만 다른 물질이 타는 것을 도움.
반응성이 매우 커 할로겐을 제외한 거의 모든 원소와 반응함.
동식물의 생명 유지에 필수적인 요소.
각종 화학공업 등에서 대량으로 사용 됨.
"
원소,플루오린의 특징이 뭐야?,"원소기호: F
원자번호: 9
화학계열: 할로젠
원자량: 18.9984
상태: 기체
밀도: 1.7g/L (0℃, 101.325KPa)
녹는점: -219.62℃ 
끓는점: -188.12℃
반응성이 매우 커서 거의 모든원소와 반응해 화합물을 생성.
독성이 있음.
미량의 플루오린화 이온은 충치예방에 사용
치과용 시멘트 제조에 사용."
원소,네온의 특징이 뭐야?,"원소기호: Ne
원자번호: 10
화학계열: 비활성 기체
원자량: 20.1797
상태: 기체
밀도: 0.9002g/L (0℃, 101.325KPa)
녹는점: -248.59℃ 
끓는점: -246.08℃
비활성 기체로 다른 원소나 화합물과 반응하지 않기 때문에 스스로 연소하거나 다른 물질의 연소를 도와주지 않음.
색깔, 맛, 냄세가 없음.
공기보다 가벼움.
네온을 유리관에 넣어 방전시켜 네온 사인을 만듦."
원소,나트륨의 특징이 뭐야?,"원소기호: Na
원자번호: 11
화학계열: 알칼리 금속
원자량: 22.9898
상태: 고체
밀도: 0.968g/cm³(실온)
녹는점: 97.72℃ 
끓는점: 883℃
최외각 전자를 1개만 가지고 있어서 반응성이 큼.
무극성 액체에 넣어서 보관.
칼로 자를 수 있을 정도로 무른 물질.
불꽃반응 노랑.
물보다 가벼워 물 위에 뜸.
물과 반응하여 수소기체 발생."
원소,마그네슘의 특징이 뭐야?,"원소기호: Mg
원자번호: 12
화학계열: 알칼리토금속
원자량: 24.305
상태: 고체
녹는점: 650℃
끓는점: 1100℃
천연 진정제로 흥분을 가라 앉히는 작용을 함.
지각에서 여덟번째로 많이 존재하는 원소.
불꽃놀이에 사용 됨.
"
원소,알루미늄의 특징이 뭐야?,"원소기호: Al
원자번호: 13
원자량: 26.981
상태: 고체
밀도: 2.70g/cm³
녹는점: 660.32℃
끓는점: 2519℃
은백색의 부드러운 금속.
공기 중에 방치하면 산화물을 생성해 광택을 잏지만 내부까지 침식되지는 않음.
전성과 연성이 뛰어나고 전기 전도성이 좋음.
가볍고 녹이 잘 슬지 않아 알루미늄 캔을 제조할 때 쓰임."
원소,규소의 특징이 뭐야?,"원소기호: Si
원자번호: 14
원자량: 28.0855
상태: 고체
밀도: 2.3290 g/cm³
녹는점: 1414℃
끓는점: 3265℃
자연계에는 유리상태로 산출되지 않고, 산화물,규산염 등으로 존재.
암석원의 주요 구성성분임.
회색의 금속성 광택을 띰.
전기저항과 온도가 반비례함.
고체 상태일때 보다 고체 상태 일때 밀도가 더 높음. "
원소,인의 특징이 뭐야?,"원소기호: P
원자번호: 15
원자량: 30.974
상태: 고체
밀도: 흰색인 1.823, 붉은색인 ?2.34g/c㎥, 검은색인 2.69g/c㎥ (실온)
녹는점: 흰색인 44.2℃, 검은인 610℃
끓는점: 흰색인 280.5℃
동물에는 뼈, 이등의 주요성분임.
피틴/인지질/인단백질/핵산 등의 중요한 유기화합물로서 체네에 함유되어 있고, 식물에는 0.2% ~ 0.8%가 함유되어 있음.
인화성이 커서 공기와 접촉하면 자연발화하여 초록빛의 인광을 냄.
진공상태에서 빛에 노출시키면 승화가 일어남.
물에 녹지 않고 벤젠이나 클로로포름에 녹음.흰색인은 인산,적린 등의 제조원료나 살서제로서 사용 됨.
붉은색인은 성냥제조에 사용 됨."
원소,황의 특징이 뭐야?,"원소기호: Si
원자번호: 16
원자량: 32.065
상태: 고체
밀도: α황 2.07 g/cm³(상온), β황 1.96 g/cm³(상온), γ황 1.92 g/cm³(상온)
녹는점: 115.21℃
끓는점: 444.6℃
절연체이고 열전도율이 낮으며 말찰하면 대전 됨.
화학적으로는 산소와 비슷하고 상당히 활성이 강함.
공기중에서 가루 형태로 된 것은 상온에서 산화되며, 금,백금 이외의 금속과는 직접 반응 함.
성냥,화학의 원료 및 약용,표백용으로 쓰임.
황원소 자체에는 독성이 없느나 황화합물인 이산화황이나 화화수소는 독성이 있으므로 사용 시 주의해햐 함."
원소,염소의 특징이 뭐야?,"원소기호: Cl
원자번호: 17
화학계열: 할로젠
원자량: 12.0107
상태: 고체
승화점: 3642℃
대기 중에서 기체상태인 이산탄소로 존재
암석권에서는 탄산염으로 존재
물 속에서는 탄산이온의 형태로 존재
유기 화합물의 주요 성분
융해가 어렵고 물과 알코올 등 모드 용제에 녹지 않음.
고온에서 기체로 되는 성질이 있음.

"
원소,아르곤의 특징이 뭐야?,"원자번호: Ar
원자번호: 18
화학계열: 비활성 기체
원자량: 39.948
상태: 기체
녹는점: -189.35℃
끓는점: -185.85℃
무색,무취,무미
대기의 0.94%를 차지함.
공기보다 무겁고 물과 유기용매에 녹음.
산소와 같은 다른 기체로부터 물질을 보호하는데 많이 사용 됨.
고온에서 안정하고 비활성인 성질을 이용해 전구,형광등,진공관 등의 내부충진 물질로 쓰임.
철강의 제조나 용점, 반토체의 제조, 금속의 제련 등에도 많이 이용 됨.
"
원소,칼륨의 특징이 뭐야?,"원소기호: K
원자번호: 19
화학계열: 알칼리금속
원자량: 39.098
상태: 고체
밀도: 0.89g/cm³(실온)
녹는점: 63.38℃
끓는점: 759℃
물에 대해 반응성이 매우 커, 상온에서 물과 격렬하게 반응해 수소가 발생함.
나트륨과 화학적 성질이 비슷함.
불꽃반응은 옅은 보라색임.
양성이 극히 강한 금속으로, 화합물은 모투 +1가이고, 물에 대부분 잘 녹음.
액체 금속 상태로 만들어 원자로의 냉각제로 쓰임."
원소,칼슘의 특징이 뭐야?,"원소기호: Ca
원자번호: 20
원자량: 40.078
상태: 고체
밀도:1.55 g/cm³
녹는점: 842℃
끓는점: 1484℃
인체에 꼭 필요한 무기염류 중 하나로, 동물체에는 주로 인산과 결합하여 뼈,이 등에 함유되어 있음.
공기 노출 시 검은 색상의 산화물을 생성함.
킬레이드 산화물과 잘 결합함.
대기에서 쉽게 산화 됨.
물과 반응해 수소를 방출함.
근육 수축 시 이온이 유출됨."
화학반응식,암모니아 합성 반응식이 뭐야?,N2 + 3H2 → 2NH3
화학반응식,마그네슘 산화반응식이 뭐야?,2Mg + O2 → 2MgO
화학반응식,물의 생성의 화학반응식이 뭐야?,2H2 + O2 → 2H2O
화학반응식,메테인의 연소반응식이 뭐야?,CH4 + 2O2 → CO2 + 2H2O
화학반응식,에탄올 연소반응식이 뭐야? ,C2H5OH +O2 → CO2 + H20
분자식,염화수소 분자식이 뭐야?,HCl
분자식,염화나트륨 분자식이 뭐야?,NaCl
분자식,염화마그네슘 분자식이 뭐야?,MgCl2
분자식,염화칼슘 분자식이 뭐야?,CaCl3
분자식,염화은 분자식이 뭐야?,AgCl
분자식,염화암모늄 분자식이 뭐야?,NH4Cl
분자식,염화바륨 분자식이 뭐야?,BaCl2
분자식,염소산칼륨 분자식이 뭐야?,KClO3
분자식,염소산나트륨 분자식이 뭐야?,NaClO3
분자식,황산 분자식이 뭐야?,H2SO4
분자식,황산칼슘 분자식이 뭐야?,CaSO4
분자식,황산나트륨 분자식이 뭐야?,Na2SO4
분자식,황산아연 분자식이 뭐야?,ZnSO4
분자식,황산바륨 분자식이 뭐야?,BaSO4
분자식,황산구리 분자식이 뭐야?,CuSO4
분자식,질산 분자식이 뭐야?,HNO3
분자식,질산은 분자식이 뭐야?,AgNO3
분자식,탄산 분자식이 뭐야?,H2CO3
분자식,탄산나트륨 분자식이 뭐야?,Na2CO3
분자식,탄산칼슘 분자식이 뭐야?,CaCO3
분자식,탄산수소 나트륨 분자식이 뭐야?,NaHCO3
분자식,수산화나트륨 분자식이 뭐야?,NaOH
분자식,수산화칼륨 분자식이 뭐야?,KOH
분자식,수산화암모늄 분자식이 뭐야?,NH4OH
분자식,수산화바륨 분자식이 뭐야?,Ba(OH)2
분자식,수산화알루미늄 분자식이 뭐야?,Al(OH)3
분자식,수산화칼슘 분자식이 뭐야?,Ca(OH)2
분자식,붕산 분자식이 뭐야?,H3BO3
분자식,인산 분자식이 뭐야?,HPO4
분자식,아세트산 분자식이 뭐야?,CH3COOH
분자식,과망간산칼륨 분자식이 뭐야?,KMnO4
분자식,산화칼슘 분자식이 뭐야?,CaO
분자식,일산화탄소 분자식이 뭐야?,CO
분자식,이산화탄소 분자식이 뭐야?,CO2
분자식,일산화일질소 분자식이 뭐야?,NO
분자식,일산화이질소 분자식이 뭐야?,N2O
분자식,오산화이질소 분자식이 뭐야?,N2O5
분자식,황화수소 분자식이 뭐야?,H2S
분자식,황화구리 분자식이 뭐야?,CUS
분자식,이산화황 분자식이 뭐야?,SO2
분자식,암모니아 분자식이 뭐야?,NH3
분자식,요오드화납 분자식이 뭐야?,Pbl2
분자식,요오드화칼륨 분자식이 뭐야?,KL
분자식,질산납 분자식이 뭐야?,Pb(NO3)2
분자식,메탄올 분자식이 뭐야?,CH3OH
분자식,에탄올 분자식이 뭐야?,C2H5OH
분자식,포도당 분자식이 뭐야?,C6H12O6
분자식,시안화칼륨 분자식이 뭐야?,KCN
분자식,벤젠 분자식이 뭐야?,C6H6
